state,state_po,year,result
Alabama,AL,2020,-1
Alaska,AK,2020,-1
Arizona,AZ,2020,1
Arkansas,AR,2020,-1
California,CA,2020,1
Colorado,CO,2020,1
Connecticut,CT,2020,1
Delaware,DE,2020,1
District Of Columbia,DC,2020,1
Florida,FL,2020,-1
Georgia,GA,2020,1
Hawaii,HI,2020,1
Idaho,ID,2020,-1
Illinois,IL,2020,1
Indiana,IN,2020,-1
Iowa,IA,2020,-1
Kansas,KS,2020,-1
Kentucky,KY,2020,-1
Louisiana,LA,2020,-1
Maine,ME,2020,1
Maryland,MD,2020,1
Massachusetts,MA,2020,1
Michigan,MI,2020,1
Minnesota,MN,2020,1
Mississippi,MS,2020,-1
Missouri,MO,2020,-1
Montana,MT,2020,-1
Nebraska,NE,2020,-1
Nevada,NV,2020,1
New Hampshire,NH,2020,1
New Jersey,NJ,2020,1
New Mexico,NM,2020,1
New York,NY,2020,1
North Carolina,NC,2020,-1
North Dakota,ND,2020,-1
Ohio,OH,2020,-1
Oklahoma,OK,2020,-1
Oregon,OR,2020,1
Pennsylvania,PA,2020,1
Rhode Island,RI,2020,1
South Carolina,SC,2020,-1
South Dakota,SD,2020,-1
Tennessee,TN,2020,-1
Texas,TX,2020,-1
Utah,UT,2020,-1
Vermont,VT,2020,1
Virginia,VA,2020,1
Washington,WA,2020,1
West Virginia,WV,2020,-1
Wisconsin,WI,2020,1
Wyoming,WY,2020,-1
Alabama,AL,2016,-1
Alaska,AK,2016,-1
Arizona,AZ,2016,-1
Arkansas,AR,2016,-1
California,CA,2016,1
Colorado,CO,2016,1
Connecticut,CT,2016,1
Delaware,DE,2016,1
District Of Columbia,DC,2016,1
Florida,FL,2016,-1
Georgia,GA,2016,-1
Hawaii,HI,2016,1
Idaho,ID,2016,-1
Illinois,IL,2016,1
Indiana,IN,2016,-1
Iowa,IA,2016,-1
Kansas,KS,2016,-1
Kentucky,KY,2016,-1
Louisiana,LA,2016,-1
Maine,ME,2016,1
Maryland,MD,2016,1
Massachusetts,MA,2016,1
Michigan,MI,2016,-1
Minnesota,MN,2016,1
Mississippi,MS,2016,-1
Missouri,MO,2016,-1
Montana,MT,2016,-1
Nebraska,NE,2016,-1
Nevada,NV,2016,1
New Hampshire,NH,2016,1
New Jersey,NJ,2016,1
